*id*,*title*,*description*,*url*,*thumbnail*,*year*
*2539*,*X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback)*,**,*http://marvel.com/comics/collection/2539/x-men_the_complete_age_of_apocalypse_epic_book_2_trade_paperback?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/c/b0/4bc61dec7755f.jpg*,*2005*
*18099*,*Weapon X (1995) #1*,**,*http://marvel.com/comics/issue/18099/weapon_x_1995_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/3/00/59440c555b02c.jpg*,*1995*
*12386*,*X-Men: Alpha (1995) #1*,*This chromium wrap-around cover set the stage for the Age of Apocalypse in the Marvel U. Only Joe Madureira and Tim Townsend could make a depressingly dystopian future look this good!*,*http://marvel.com/comics/issue/12386/x-men_alpha_1995_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/7/00/599b1cf83439a.jpg*,*1995*
