*id*,*title*,*description*,*url*,*thumbnail*,*year*
*113015*,*Blood Hunt (2024) #5*,*Doctor Strange is presented with a dread bargain to gain a chance to save the world. The Avengers ride into a battle they cannot win. The dead battle the undead across the globe. Will it be enough? Will the world be saved, and how will it be changed if it is? Featuring a dramatic shift for the future of the Marvel Universe!*,*http://marvel.com/comics/issue/113015/blood_hunt_2024_5?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/3/40/66212baf71953.jpg*,*2024*
*109703*,*Doctor Strange (2023) #17*,*BLOOD HUNT TIE-IN - FRIEND TURNED FOE! As the BLOOD HUNT tie-in rumbles towards its blood-chilling conclusion, Wong must stalk the monster that his closest friend has become. Even if he can overcome the beast, can Wong bring himself to put down Stephen Strange? Is there anyone the agent of W.A.N.D. can turn to. or has the Sanctum Sanctorum become a killing jar?*,*http://marvel.com/comics/issue/109703/doctor_strange_2023_17?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/5/20/66212bcd2a112.jpg*,*2024*
*113014*,*Blood Hunt (2024) #4*,*Doctor Strange and Clea court a dread ally - but at what cost comes this aid? Hunter's Moon and Tigra do the same- but can this shadowy figure be trusted? And meanwhile, the Avengers are given the battle they so sorely crave in order to avenge their fallen friends. But in the darkness...a light?*,*http://marvel.com/comics/issue/113014/blood_hunt_2024_4?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/a/20/65f9afd9f3811.jpg*,*2024*
*109702*,*Doctor Strange (2023) #16*,*BLOOD HUNT TIE-IN: DOCTOR STRANGE…THE VAMPIRE?! Earth's mystic defender is off the board as the skies darken! Can Wong and Clea save Stephen from himself? Or…can they save themselves from him?*,*http://marvel.com/comics/issue/109702/doctor_strange_2023_16?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/6/20/66634df20a53c.jpg*,*2024*
*113012*,*Blood Hunt (2024) #2*,*The vampires' first strike has laid low the world, and their endless legions run riot across the planet. The broken Avengers join the fighters of the Midnight Mission and unlikely allies BLOODLINE and DRACULA in seeking out the one man who can do something about this: Doctor Strange. But after the apocalyptic events of BLOOD HUNT #1, what is left of Earth's Sorcerer Supreme?*,*http://marvel.com/comics/issue/113012/blood_hunt_2024_2?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/6/b0/663e5c43c4b86.jpg*,*2024*
*114844*,*Strange Academy: Blood Hunt (2024) #1*,*The vampire onslaught of BLOOD HUNT reaches worldwide all the way down to NEW ORLEANS, LOUISIANA, home of the STRANGE ACADEMY! DOYLE DORMAMMU, SHAYLEE, TOTH, ZOE, GERMÁN get embroiled in an adventure that will take them around the Marvel Universe and right into the center of the BLOOD HUNT action! That's right, the kids from the best new series of the decade find themselves at center stage of the Marvel event of 2024!*,*http://marvel.com/comics/issue/114844/strange_academy_blood_hunt_2024_1?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/2/d0/6630063c006fe.jpg*,*2024*
*109701*,*Doctor Strange (2023) #15*,*A BLOOD HUNT TIE-IN! Picking up immediately after the shocking events of BLOOD HUNT #1, Strange and Clea must help the heroes of Earth fight back against the vampire army! But is it already too late for our Sorcerer Supreme?*,*http://marvel.com/comics/issue/109701/doctor_strange_2023_15?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/f/e0/663006451cc17.jpg*,*2024*
*113011*,*Blood Hunt (2024) #1*,*THE BLOODIEST MARVEL EVENT EVER! The skies have gone dark, the sun hiding its face from the carnage to come. The children of the night, the vampires, have risen from the dark and hidden places of the world as one to drown the Marvel Universe in blood. Earth's final night has fallen - can even the heroes of this doomed world stem the tide of blood that is to come? Join the AVENGERS, BLADE, BLOODLINE, SPIDER-MAN, HUNTER'S MOON, TIGRA, DOCTOR STRANGE and CLEA as the dance of death begins in BLOOD HUNT #1!*,*http://marvel.com/comics/issue/113011/blood_hunt_2024_1?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/9/d0/65d73a5d4c9b7.jpg*,*2024*
*103964*,*G.O.D.S. (2023) #7*,*Dimitri is an orphan who was born in the Cosmodrome. Out there somewhere is what he's been looking for his whole life. The way in is the way through. All you have to do is listen for the signal.*,*http://marvel.com/comics/issue/103964/gods_2023_7?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/f/e0/66154101c74a6.jpg*,*2024*
*113040*,*What If…? Venom (2024) #3*,*THE SYMBIOTE SUPREME!  NONE ARE SAFE from the Venom symbiote's permeation of every corner of yesteryear and the present alike with its inky, black tendrils…not even DOCTOR STRANGE, THE SORCERER SUPREME! BY THE CRYING CREATURES OF KLYNTAR, THIS IS ONE YOU CAN'T MISS!*,*http://marvel.com/comics/issue/113040/what_if_venom_2024_3?utm_campaign=apiRef&utm_source=af4ce9272a311153844509e7a5478032*,*http://i.annihil.us/u/prod/marvel/i/mg/f/d0/6615411be2047.jpg*,*2024*
