*id*,*title*,*description*,*url*,*thumbnail*,*year*
*113178*,*Spider-Man: Shadow of the Green Goblin (2024) #2*,*ENTER SANDMAN!  While NORMAN OSBORN deals with the fallout of an attempt on his son Harry's life…  PETER PARKER struggles to keep himself together.  What better way to work out your problems than putting on the mask to take down FLINT MARKO: THE SANDMAN!*,*http://marvel.com/comics/issue/113178/spider-man_shadow_of_the_green_goblin_2024_2?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/6/00/6630063ca3d9c.jpg*,*2024*
*109633*,*The Amazing Spider-Man (2022) #46*,*Spidey is cleaning up the mess that is his life after some of the most harrowing conflicts of his life. Electro isn't going to wait for Spidey to figure his problems out, though. A dangling thread from earlier in the run that you forgot was dangling starts to pull the sweater apart!*,*http://marvel.com/comics/issue/109633/the_amazing_spider-man_2022_46?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/c/b0/65f9a3c8cd5c2.jpg*,*2024*
*107298*,*Marvel Meow Infinity Comic (2022) #15*,**,*http://marvel.com/comics/issue/107298/marvel_meow_infinity_comic_2022_15?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/3/c0/6439663ba907c.jpg*,*2023*
*69281*,*Peter Parker: The Spectacular Spider-Man (2017) #309*,*What should have been a simple altercation with Sandman turns VERY dark. A tale unbound by time itself threatens Spider-Man in never-before-seen ways!*,*http://marvel.com/comics/issue/69281/peter_parker_the_spectacular_spider-man_2017_309?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/3/30/5b90164b3429c.jpg*,*2018*
*62223*,*Spider-Man: Miles Morales Vol. 4 (Trade Paperback)*,*Collects Spider-Man (2016) #234-240. The Sinister Six reborn! Miles Morales’ world has been shaken up lately, but nothing compares to what the mysterious Iron Spider and his new group of super villains are about to do. Sandman, Hobgoblin, the Spot, Electro and Bombshell(?!) have united — to make Spider-Man’s life a living hell! And unfortunately for those closest to our hero, it’s not just his life that’s going to get obliterated. Miles’ friend Lana has been through so much and grown into a hero. But with her mother, Bombshell, on the Sinister Six, things look set to blow up for her — in a bad way! Miles faces his greatest challenge yet — as writer Brian Michael Bendis bids a fond farewell to one of his most beloved creations! What legacy will he leave for Miles Morales, Spider-Man?*,*http://marvel.com/comics/collection/62223/spider-man_miles_morales_vol_4_trade_paperback?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/3/03/5b3531602962f.jpg*,*2018*
*66454*,*Spider-Man (2016) #238*,*The Hobgoblin doesn't like following orders, but Iron Spider made a compelling case to join the Sinister Six. One of the perks? Killing Spider-Man!*,*http://marvel.com/comics/issue/66454/spider-man_2016_238?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/9/60/5a972b060feb8.jpg*,*2018*
*66114*,*Spider-Man (2016) #237*,*SANDMAN doesn’t trust the leader of the new Sinister Six, and he’s ready to take matters into his own sands! Can SPIDER-MAN contain him AND fend off IRON SPIDER, who won’t ignore his vendetta against Miles and his family any longer?*,*http://marvel.com/comics/issue/66114/spider-man_2016_237?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/3/10/5a7245a053a77.jpg*,*2018*
*63254*,*SPIDER-MAN: WEBSPINNERS - THE COMPLETE COLLECTION TPB (Trade Paperback)*,*Collects Webspinners: Tales Of Spider-Man #1-18, Material From Shadows & Light (1998) #2-3. A host of comic book talents spin yarns across the web of Spidey history! Dive deep inside the goldfi sh bowl for a look at the early motivations of Mysterio! Solve the decades-old mystery of why the Silver Surfer abandoned his plan to attack mankind! Head back to Midtown High’s senior prom with ladies’ man Peter Parker — but who invited the Sandman? Chameleon spirals out of control, Vulture plots the perfect crime, and a black-suited Spider-Man joins Silver Sable on a mission of international intrigue! And there are no positives to a trip to the Negative Zone — particularly when Cletus Kasady is along for the ride, and Blastaar the Living Bomb-Burst is the welcoming party!*,*http://marvel.com/comics/collection/63254/spider-man_webspinners_-_the_complete_collection_tpb_trade_paperback?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/4/10/594d7553b838a.jpg*,*2017*
*60801*,*SPIDER-MAN: FRIENDLY NEIGHBORHOOD SPIDER-MAN BY PETER DAVID - THE COMPLETE COLLECTION TPB (Trade Paperback)*,*Collects Friendly Neighborhood Spider-Man #5-23, Annual #1. Comics' greatest wisecracker plus one of the wittiest writers around should make for one very friendly neighborhood! But as Civil War rages, that's far from the case on Spidey's streets. Just as the present is filled with turmoil, his past and future will be turned upside down by a face he never thought he'd see again and a familiar foe's master plan! Then, when the ongoing conflict leads Peter Parker to reveal his secret identity to the world, his momentous decision will have  dramatic repercussions. Plus: Pete goes back in black when life takes a dark turn!*,*http://marvel.com/comics/collection/60801/spider-man_friendly_neighborhood_spider-man_by_peter_david_-_the_complete_collection_tpb_trade_paperback?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/2/04/6489e56dbedcd.jpg*,*2017*
*59889*,*MARVEL UNIVERSE ULTIMATE SPIDER-MAN VS. THE SINISTER SIX VOL. 2 DIGEST (Trade Paperback)*,*Collects Marvel Universe Ultimate Spider-Man Vs. The Sinister Six #5-8. The hunt is on for the mole inside S.H.I.E.L.D.! Vulture's revelation rocks the trust between Spider-Man and his allies...but can the Vulture be trusted? Is Agent Venom really DOUBLE Agent Venom? With appearances by The Lizard, Kraven, and more, don't miss the next chapter in the saga of the Sinister 6!*,*http://marvel.com/comics/collection/59889/marvel_universe_ultimate_spider-man_vs_the_sinister_six_vol_2_digest_trade_paperback?utm_campaign=apiRef&utm_source=882858640be5e1c7df0e46bdf4f238d5*,*http://i.annihil.us/u/prod/marvel/i/mg/c/a0/58efe5b4a4b37.jpg*,*2017*
