*id*,*title*,*description*,*url*,*thumbnail*,*year*
*107155*,*Dark X-Men (2023) #5*,*INFERNO! The Limbo Embassy falls as Orchis' secret weapon against Madelyne Pryor ascends to the throne. When the flames die down, who will emerge as the one true Goblin Queen - and will any of the Dark X-Men survive to see the outcome?!*,*http://marvel.com/comics/issue/107155/dark_x-men_2023_5?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/d/20/6596e27d8eaeb.jpg*,*2023*
*107154*,*Dark X-Men (2023) #4*,*HOSTILE TAKEOVER! The fiend taunting the Dark X-Men from afar leaves a trail of bodies in her wake as terror falls over the Limbo Embassy. Will CHASM join the fight against Orchis…or become Madelyne Pryor's ultimate downfall? And can the Devil ever truly be trusted?*,*http://marvel.com/comics/issue/107154/dark_x-men_2023_4?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/3/f0/654bb089894e0.jpg*,*2023*
*107150*,*Dark X-Men (2023) #1*,*WELCOME TO THE DARK X-MEN… HOPE THE WORLD SURVIVES THE EXPERIENCE! Following the explosive events of the Hellfire Gala, MADELYNE PRYOR realizes the world needs the X-Men now more than ever. HAVOK and GAMBIT have served on the team before…but never one that looks like this! And how does GIMMICK, breakout star of MARVEL'S VOICES: PRIDE, fall under the Goblin Queen's sway? Find out in the most horrific installment of the X-Men saga yet!*,*http://marvel.com/comics/issue/107150/dark_x-men_2023_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/9/b0/64ecae72b8069.jpg*,*2023*
*70097*,*Weapon X (2017) #26*,*The devilish lothario called Azazel takes Weapon X-Force to hell! He can...but will he? It'll take every trick in Mystique's book to make him see the light!*,*http://marvel.com/comics/issue/70097/weapon_x_2017_26?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/f/90/5beca8ca94f45.jpg*,*2018*
*48023*,*Amazing X-Men (2013) #5*,*Nightcrawler and his pirate band of X-Men take on Azazel and his hellish hordes!One of the X-Men must make the ultimate sacrifice!*,*http://marvel.com/comics/issue/48023/amazing_x-men_2013_5?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/20/531f353ad842d.jpg*,*2014*
*41821*,*X-MEN FIRST CLASS: THE HIGH HAND (2011) #1*,**,*http://marvel.com/comics/issue/41821/x-men_first_class_the_high_hand_2011_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/9/60/4e5e91092ae3d.png*,*2011*
*13969*,*Uncanny X-Men (1963) #428*,**,*http://marvel.com/comics/issue/13969/uncanny_x-men_1963_428?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/d0/591b60ae77e48.jpg*,*2003*
