*id*,*title*,*description*,*url*,*thumbnail*,*year*
*113827*,*Women of Marvel (2024) #1*,*CELEBRATING THE MIGHTY WOMEN OF MARVEL! Because they worked hard for this and they deserve it! But who you callin' "doll"?! Marvel's most powerful heroines take center stage in an anthology that will inspire, empower and motivate fans from all walks of life! Whether it's the Boss of Space pummeling back an alien invasion or the Scarlet Witch weaving a magical protection, the women of Marvel have got your back. Featuring a story by industry legend Gail Simone and more to come!*,*http://marvel.com/comics/issue/113827/women_of_marvel_2024_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/00/65ca4d152841c.jpg*,*2024*
*106216*,*X-Men Unlimited Infinity Comic (2021) #93*,**,*http://marvel.com/comics/issue/106216/x-men_unlimited_infinity_comic_2021_93?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/d0/646e33c7c65d5.jpg*,*2023*
*106107*,*Marvel's Voices Infinity Comic (2022) #45*,**,*http://marvel.com/comics/issue/106107/marvels_voices_infinity_comic_2022_45?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/9/40/640f5efe06c50.jpg*,*2023*
*105486*,*Love Unlimited Infinity Comic (2022) #41*,**,*http://marvel.com/comics/issue/105486/love_unlimited_infinity_comic_2022_41?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/3/90/63e3c8755131f.jpg*,*2023*
*105485*,*Love Unlimited Infinity Comic (2022) #40*,**,*http://marvel.com/comics/issue/105485/love_unlimited_infinity_comic_2022_40?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/a/00/63d84ed13f7d8.jpg*,*2023*
*95806*,*Fantastic Four (2018) #47*,*A.X.E.: JUDGMENT DAY TIE-IN! The Taking of Baxter 1-2-3-4 begins now! With judgment looming over the Marvel Universe, Reed Richards has locked himself in his Think Tank in search of answers. But with the fate of humanity on the line, what happens when OUBLIETTE MIDAS sets her sights on the Baxter Building? As the Fantastic Four falls before the Exterminatrix's death traps, only one hero remains standing - but if you thought Oubliette was dangerous, it's nothing compared to what the Invisible Woman is capable of. Get ready for Die Hard in the Baxter Building, as we've only got one thing left to say: Yippie-ki-yay, Marvel Universe.*,*http://marvel.com/comics/issue/95806/fantastic_four_2018_47?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/60/631b35b564fb8.jpg*,*2022*
*91379*,*Deadpool Infinity Comic (2021) #3*,**,*http://marvel.com/comics/issue/91379/deadpool_infinity_comic_2021_3?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/03/6165b72e26155.jpg*,*2021*
*91378*,*Deadpool Infinity Comic (2021) #2*,**,*http://marvel.com/comics/issue/91378/deadpool_infinity_comic_2021_2?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/7/40/615c8b64687fe.jpg*,*2021*
*91377*,*Deadpool Infinity Comic (2021) #1*,**,*http://marvel.com/comics/issue/91377/deadpool_infinity_comic_2021_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/3/60/61437d3c0678a.jpg*,*2021*
*17463*,*Fantastic Four: Clobberin' Time Digest (Trade Paperback)*,**,*http://marvel.com/comics/collection/17463/fantastic_four_clobberin_time_digest_trade_paperback?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/b/03/57194f8190b51.jpg*,*2021*
