*id*,*title*,*description*,*url*,*thumbnail*,*year*
*27649*,*Incredible Hulks (2010) #604 (DJURDJEVIC 70TH ANNIVERSARY VARIANT)*,**,*http://marvel.com/comics/issue/27649/incredible_hulks_2010_604_djurdjevic_70th_anniversary_variant/djurdjevic_70th_anniversary_variant?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4badb223f33c9.jpg*,*2029*
*183*,*Startling Stories: The Incorrigible Hulk (2004) #1*,**,*http://marvel.com/comics/issue/183/startling_stories_the_incorrigible_hulk_2004_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg*,*2029*
*109665*,*Incredible Hulk (2023) #14*,*As Banner struggles to escape the terrifying mindscape in which Hulk keeps him prisoner, Charlie's soul is trapped inside a nightmare of her own…and she'll need both Hulk and Banner if she has any hope of escape! Meanwhile, the mysterious ELDEST is watching Hulk's every move, as her plan to free the MOTHER OF HORRORS takes shape…and we get a glimpse at just how far back her grudge against Hulk goes! PLUS: PART 1 OF DEADPOOL/WOLVERINE: WEAPON X-TRACTION!*,*http://marvel.com/comics/issue/109665/incredible_hulk_2023_14?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/3/a0/66212be8634e7.jpg*,*2024*
*115500*,*HULK: BLOOD HUNT #1 [BH] (2024) #1*,*WHAT LIES BENEATH! Hulk and Banner's quest to save Charlie's soul leads them through the Old West town of OLD TUCSON, population of one… but the last man in town has a heck of a story to tell. Before the night ends, Hulk and Banner will learn that there's a lot more than meets the eye in Old Tucson, and that there's a lot more under the desert floor than either of them could have guessed. Don't miss this spine-chilling chapter of the BLOOD HUNT event!*,*http://marvel.com/comics/issue/115500/hulk_blood_hunt_1_bh_2024_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/3/50/66212be916e52.jpg*,*2024*
*109664*,*Incredible Hulk (2023) #13*,*After smashing into STRANGE ACADEMY to save Charlie's life, DOCTOR VOODOO has sent the souls of both Hulk AND Banner into an exorcist's soul cage, where some of the most terrifying beings on Earth have been condemned for eternity. There they'll seek Charlie's last chance for survival: SUMUNGARU THE FLESH-WEAVER, one of the most evil sorcerers to ever live. Even if Hulk doesn't murder Banner first and even if they survive the encounter with Sumungaru, can Hulk and Banner convince such an evil creature to save Charlie? And what will it ask in return? One chapter ends, another begins in this pivotal issue!*,*http://marvel.com/comics/issue/109664/incredible_hulk_2023_13?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/d0/66634e76b70ce.jpg*,*2024*
*114741*,*Blood Hunters (2024) #2*,*The bloody chaos continues as the events of BLOOD HUNT spill across the Marvel Universe! When the skies go dark, what will happen when a group of vampires gets a taste of the Hulk's gamma-irradiated blood?! Kate Bishop takes aim against the creatures of the night with the help of a mysterious new vampire hunter. And Dagger and Elsa Bloodstone have teamed up to face down the vampiric hordes - but when a new combatant enters the field, will she prove friend or foe? Or both?! The formation of Marvel's wildest new team yet, the BLOOD HUNTERS, continues!*,*http://marvel.com/comics/issue/114741/blood_hunters_2024_2?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/20/666b7023a3e6b.jpg*,*2024*
*109663*,*Incredible Hulk (2023) #12*,*In the aftermath of the tragic battle against Frozen Charlotte, Hulk pays a visit to STRANGE ACADEMY, seeking the help of BROTHER VOODOO in saving Charlie's immortal soul! But when the task calls for a one-way descent into an exorcist's ancient prison in search of the immortal FLESH-WEAVER, is the price too high even for the Incredible Hulk?*,*http://marvel.com/comics/issue/109663/incredible_hulk_2023_12?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/b/f0/65d73ab015eaf.jpg*,*2024*
*113503*,*GIANT-SIZE HULK #1 (2024) #1*,*THE ONLY WAY TO CONTAIN THE HULK…IS IN A GIANT-SIZE STORY! Riding the rails is no walk in the park - especially for the INCREDIBLE HULK! And particularly when something - no, someONE - has been stolen from him by a gruesome new threat with evil machinations in mind. Clear the tracks - the HULK is coming through!!! PLUS: Includes a reprinting of INCREDIBLE HULK #372 by Peter David and Dale Keown, featuring high-speed action and heartrending drama in a Hulk tale for the ages!*,*http://marvel.com/comics/issue/113503/giant-size_hulk_1_2024_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/3/90/6615413ba9e67.jpg*,*2024*
*109662*,*Incredible Hulk (2023) #11*,*HULK SMASHES FROZEN CHARLOTTE ONCE AND FOR ALL! The monstrous, ethereal, demonic/angelic Frozen Charlotte has plagued New Orleans for centuries, and it's high time to put a stop to it. And Hulk is just the guy to do it. Plus, Eldest makes another tempting offer to Bruce Banner…*,*http://marvel.com/comics/issue/109662/incredible_hulk_2023_11?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/30/6615419f2a2be.jpg*,*2024*
*108992*,*Incredible Hulk (2023) #10*,*THE GHOST DETECTIVE TAKES HULK ON A MIND-BENDING ADVENTURE THROUGH THE PAST! Frozen Charlotte is the newest monster set on delivering Hulk to Eldest (and sowing macabre and murder along the way). But Frozen Charlotte emerged once before, and to stop her, Hulk must first understand her past… So the Ghost Detective takes Hulk on a noir hunt for a serial killer set in 1850s New Orleans!*,*http://marvel.com/comics/issue/108992/incredible_hulk_2023_10?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/c/00/65f9a3ac640ab.jpg*,*2024*
*108991*,*Incredible Hulk (2023) #9*,*HULK VERSUS THE ANGEL OF DEATH - FROZEN CHARLOTTE! Phillip Kennedy Johnson's latest spine-chilling tale brings Hulk into a supernatural town haunted by a serial killer…but she is no mere mortal killer, and Hulk will need the help of a supernatural detective in order to track her down!*,*http://marvel.com/comics/issue/108991/incredible_hulk_2023_9?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/b/f0/65cccfd2010f7.jpg*,*2024*
*108990*,*Incredible Hulk (2023) #8*,*THE EPIC CONCLUSION OF HULK'S THROWDOWN WITH THE WWII GHOST RIDER AND THE WAR DEVILS! The Personification of Rage and the Spirit of Vengeance have their own vengeful spirit to conquer! When the Hulk and the undead Ghost Rider of the past finally come face-to-face with the monstrosity controlling the war devils, a bone-crushing brawl follows!*,*http://marvel.com/comics/issue/108990/incredible_hulk_2023_8?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/c/c0/65b2c8dd7f2c7.jpg*,*2024*
*106965*,*Blade (2023) #7*,*BLADE TEAMS UP WITH THE HULK TO TAME THE ANGER WITHIN! In preparation to face the Adana once more, Blade must confront the monster he is afraid he is…and who knows better what it’s like to live with a monstrous version of yourself than Bruce Banner?*,*http://marvel.com/comics/issue/106965/blade_2023_7?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/8/03/6596e1338a215.jpg*,*2024*
*113208*,*Thanos (2023) #2*,*THE ILLUMINATI’S  SECRET WEAPON: HULK! The new Illuminati move on Thanos to prevent him from destroying the Earth as part of his quest to reclaim his beloved Death, which means it’s time to bring in the biggest gun they’ve got: THE INCREDIBLE HULK!*,*http://marvel.com/comics/issue/113208/thanos_2023_2?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/e0/6596e1385c3af.jpg*,*2024*
*113582*,*GIANT-SIZE SUPER-STARS FACSIMILE EDITION (2023) #1*,*The Thing and the Hulk have one of the most powerhouse rivalries in the entire Marvel Universe - and in 1974, it spilled out of the pages of both of their own books into a double-length slobberknocker! And like all the best bouts, this one takes place in the ring at Madison Square Garden - with the Fantastic Four watching on! In the green corner, it's Bruce Banner's incredible alter ego! In the orange corner, it's bashful Benjamin J. Grimm! But there's a twist to this fight that you won't believe - and the formidable warrior Thundra is on hand to tag in! Will it be Clobberin' Time for the Hulk? Or will the ever-lovin' Thing get smashed? Find out in one of the all-time great Marvel comic books, boldly re-presented in its original form, ads and all! Reprinting GIANT-SIZE SUPER-STARS #1.*,*http://marvel.com/comics/issue/113582/giant-size_super-stars_facsimile_edition_2023_1?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/d/00/6596e1ba8ffc5.jpg*,*2023*
*112224*,*Sensational She-Hulk (2023) #3*,*SHE-HULK & HULK face off against one of She-Hulk's most dangerous villains! But is Hulk's scary new incarnation the best teammate to have?*,*http://marvel.com/comics/issue/112224/sensational_she-hulk_2023_3?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/6/30/6596e1a1b51c5.jpg*,*2023*
*108989*,*Incredible Hulk (2023) #7*,*HULK VERSUS THE WAR DEVILS! The Hulk and the undead Ghost Rider make amends, but Ghost Rider smells an evil in the air - and it's been terrorizing a small community. With Bruce's teenage sidekick, Charlie, determined to prove herself as a hero, Hulk must face them down before she gets herself into more trouble than she bargained for!*,*http://marvel.com/comics/issue/108989/incredible_hulk_2023_7?utm_campaign=apiRef&utm_source=818dad62b16c153f47f723d32982e787*,*http://i.annihil.us/u/prod/marvel/i/mg/c/a0/6596e20cbfd6c.jpg*,*2023*
